h1_rank,h1_suit,h2_rank,h2_suit,c1_rank,c1_suit,c2_rank,c2_suit,c3_rank,c3_suit,c4_rank,c4_suit,c5_rank,c5_suit,num_opponents,equity
6,3,10,0,7,3,8,0,10,1,9,0,13,2,1,71.75
3,3,11,3,9,0,4,2,14,3,0,0,0,0,4,5.3
14,3,9,2,9,1,4,3,4,1,7,2,14,1,5,3.2
12,1,7,1,8,3,9,2,9,1,7,3,13,0,2,23.7
7,2,12,2,5,0,9,0,8,2,0,0,0,0,3,13.9
10,1,10,2,4,0,8,0,5,1,8,2,0,0,5,5.7
9,1,3,3,4,0,3,1,7,3,5,0,10,3,5,0.15
8,3,5,0,6,2,11,1,6,3,7,2,0,0,3,15.15
8,3,11,2,3,1,13,0,10,3,0,0,0,0,4,4.65
4,0,12,3,5,3,11,2,2,3,10,1,5,0,2,0.0
9,2,8,3,6,2,2,1,7,0,0,0,0,0,5,22.3
7,3,3,2,10,3,11,3,8,3,10,2,6,3,2,39.75
2,2,10,1,4,3,8,2,13,2,3,3,0,0,3,0.9
10,2,2,2,7,1,7,2,2,1,0,0,0,0,4,13.25
12,1,6,0,7,2,10,2,4,0,13,2,0,0,3,0.25
6,1,3,1,10,2,13,1,12,3,0,0,0,0,4,5.1
4,0,5,1,8,2,13,3,11,1,12,0,0,0,4,0.25
13,0,2,1,8,0,12,1,10,2,9,0,0,0,3,0.45
5,2,8,3,12,0,12,2,8,1,13,0,4,2,3,15.7
14,3,11,3,8,3,8,0,9,1,0,0,0,0,3,6.9
9,2,7,3,13,0,4,3,4,0,6,0,0,0,1,6.1
2,1,4,3,3,0,4,1,9,3,0,0,0,0,5,13.3
2,0,14,0,9,1,10,2,11,2,13,2,0,0,4,0.0
12,1,5,2,9,1,12,2,6,3,12,3,0,0,5,64.3
2,1,8,0,11,3,13,2,5,2,2,3,0,0,3,14.6
7,0,5,0,14,1,7,1,2,2,0,0,0,0,3,19.9
7,0,5,2,12,3,10,2,7,1,6,1,4,1,3,3.3
14,2,5,0,6,1,3,0,7,3,3,2,0,0,4,5.2
6,1,10,2,4,2,6,0,14,2,0,0,0,0,4,13.95
3,3,12,0,5,3,13,3,8,0,4,2,0,0,2,1.9
10,1,7,0,3,0,4,1,2,2,12,0,14,1,3,0.0
7,0,9,1,6,1,9,3,9,2,0,0,0,0,4,72.7
9,3,12,1,13,3,12,2,11,0,14,1,3,3,2,9.3
9,1,2,0,14,3,12,0,14,0,0,0,0,0,1,15.05
4,1,13,2,6,1,7,1,8,1,13,0,0,0,5,6.25
5,3,11,1,6,2,13,2,4,1,0,0,0,0,4,3.15
4,0,7,2,7,0,10,2,2,2,5,1,0,0,5,7.1
9,3,3,3,12,0,2,2,3,1,11,3,0,0,2,24.75
14,3,4,2,6,3,9,3,10,1,3,2,6,2,5,0.0
8,2,9,1,13,1,14,1,14,3,7,1,0,0,5,2.3
4,0,9,0,13,3,14,3,6,1,0,0,0,0,2,5.3
